Puzzle number,Algorithm,Heuristic,Lenghth of the Solution,Lenghth of the Search Path,Execution Time (in seconds)
47,GBFS,h1,,,
47,A/A*,h1,,,
47,GBFS,h2,,,
47,A/A*,h2,,,
47,GBFS,h3,,,
47,A/A*,h3,,,
47,GBFS,h4,,,
47,A/A*,h4,,,
48,UCS,N/A,,,
48,GBFS,h1,,,
48,A/A*,h1,,,
48,GBFS,h2,,,
48,A/A*,h2,,,
48,GBFS,h3,,,
48,A/A*,h3,,,
48,GBFS,h4,,,
48,A/A*,h4,,,
49,UCS,N/A,,,
49,GBFS,h1,,,
49,A/A*,h1,,,
49,GBFS,h2,,,
49,A/A*,h2,,,
49,GBFS,h3,,,
49,A/A*,h3,,,
49,GBFS,h4,,,
49,A/A*,h4,,,
50,UCS,N/A,,,
50,GBFS,h1,,,
50,A/A*,h1,,,
50,GBFS,h2,,,
50,A/A*,h2,,,
50,GBFS,h3,,,
50,A/A*,h3,,,
50,GBFS,h4,,,
50,A/A*,h4,,,
