0 10 4  ICC...IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 10 4  IJCC..IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 6 4  IJ.CC.IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 6 4  IJ..CCIJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 6 4  IJCC..IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 6 4  IJ.CC.IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 6 4  IJ..CCIJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 6 4  IJCC..IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 10 4  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
0 10 4  I..CC.IJDDLFIJAALFEEK..H..K..H.GGGBB
0 15 4  ICC...IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 10 4  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 7 4  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 15 4  ICC...IJDDLFIJAALFEEK..H..K..H.GGGBB
0 11 4  ICC...IJDDLFIJAALFEEK..H..K..H.GGGBB
0 11 4  ICC...IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 4 4  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
0 9 4  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
0 4 4  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
0 5 4  IJCC..IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 4 4  I.CC..IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 9 4  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
0 10 4  I.CC..IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 8 4  IJCC..IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 10 4  I..CC.IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 2 4  I...CCIJDDLFIJAALFEEK..H..K..H.GGGBB
0 8 4  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
0 3 4  ICC...IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 1 4  I...CCIJDDLFIJAALFEEK..H..K..H.GGGBB
0 5 4  IJ.CC.IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 4 4  IJ..CCIJDDLFIAA.LFEEK..H..K..H.GGGBB
0 9 4  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
0 1 4  I.CC..IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 7 4  IJCC..IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 4 4  IJ.CC.IJDDLFI.AALFEEK..H..K..H.GGGBB
0 6 4  IJCC..IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 3 4  ICC...IJDDLFIJAALFEEK..H..K..H.GGGBB
0 1 4  IJ..CCIJDD.FI.AALFEEK.LH..K..H.GGGBB
0 5 4  IJ.CC.IJDDLFIAA.LFEEK..H..K..H.GGGBB
0 10 4  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
0 10 4  I.CC..IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 4 4  IJCC..IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 3 4  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
0 7 4  IJCC..IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 6 4  IJCC..IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 6 4  IJCC..IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 5 4  I..CC.IJDDLFIJAALFEEK..H..K..H.GGGBB
0 10 4  I..CC.IJDDLFIJAALFEEK..H..K..H.GGGBB
0 15 4  ICC...IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 15 4  ICC...IJDDLFIJAALFEEK..H..K..H.GGGBB
0 7 4  IJCC..IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 4 4  ICC...IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 7 4  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
0 11 4  IJCC..IJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 1 4  ICC...IJDD.FIJAALFEEK.LH..K..H.GGGBB
0 10 4  I.CC..IJDDLFIJAALFEEK..H..K..H.GGGBB
0 9 4  IJCC..IJDD.FI.AALFEEK.LH..K..H.GGGBB
0 4 4  IJ..CCIJDD.FIAA.LFEEK.LH..K..H.GGGBB
0 7 4  IJCC..IJDDLFI.AALFEEK..H..K..H.GGGBB
